2024-05-28 14:54:51.419 INFO  (main) [c: s: r: x: t:] o.e.j.s.Server jetty-10.0.20; built: 2024-01-29T20:46:45.278Z; git: 3a745c71c23682146f262b99f4ddc4c1bc41630c; jvm 17.0.11+9
2024-05-28 14:54:51.820 WARN  (main) [c: s: r: x: t:] o.e.j.u.DeprecationWarning Using @Deprecated Class org.eclipse.jetty.servlet.listener.ELContextCleaner
2024-05-28 14:54:51.900 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Using logger factory org.apache.logging.slf4j.Log4jLoggerFactory
2024-05-28 14:54:51.946 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider  ___      _       Welcome to Apache Solr™ version 9.6.0
2024-05-28 14:54:51.946 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider / __| ___| |_ _   Starting in standalone mode on port 8983
2024-05-28 14:54:51.946 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider \__ \/ _ \ | '_|  Install dir: /opt/solr-9.6.0
2024-05-28 14:54:51.947 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider |___/\___/_|_|    Start time: 2024-05-28T14:54:51.947191484Z
2024-05-28 14:54:51.964 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr started with "-XX:+CrashOnOutOfMemoryError" that will crash on any OutOfMemoryError exception. The cause of the OOME will be logged in the crash file at the following path: /var/solr/logs/jvm_crash_11.log
2024-05-28 14:54:52.088 INFO  (main) [c: s: r: x: t:] o.a.s.s.CoreContainerProvider Solr Home: /var/solr/data (source: system property: solr.solr.home)
2024-05-28 14:54:52.133 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig solr.xml not found in SOLR_HOME, using built-in default
2024-05-28 14:54:52.134 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrXmlConfig Loading solr.xml from /opt/solr-9.6.0/server/solr/solr.xml
2024-05-28 14:54:52.217 INFO  (main) [c: s: r: x: t:] o.a.s.c.SolrResourceLoader Added 1 libs to classloader, from paths: [/opt/solr-9.6.0/lib]
2024-05-28 14:54:53.193 INFO  (main) [c: s: r: x: t:] o.a.s.u.t.SimplePropagator Always-on trace id generation enabled.
2024-05-28 14:54:53.524 WARN  (main) [c: s: r: x: t:] o.a.s.u.StartupLoggingUtils Jetty request logging enabled. Will retain logs for last 3 days. See chapter "Configuring Logging" in reference guide for how to configure.
2024-05-28 14:54:53.527 WARN  (main) [c: s: r: x: t:] o.a.s.c.CoreContainer Not all security plugins configured!  authentication=disabled authorization=disabled.  Solr is only as secure as you make it. Consider configuring authentication/authorization before exposing Solr to users internal or external.  See https://s.apache.org/solrsecurity for more info
2024-05-28 14:54:53.972 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Found 2 core definitions underneath /var/solr/data
2024-05-28 14:54:53.973 INFO  (main) [c: s: r: x: t:] o.a.s.c.CorePropertiesLocator Cores are: [jobs, mycore]
2024-05-28 14:54:54.062 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.10.0
2024-05-28 14:54:54.062 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.c.SolrConfig Using Lucene MatchVersion: 9.10.0
2024-05-28 14:54:54.306 INFO  (coreLoadExecutor-11-thread-2) [c: s: r: x:mycore t:] o.a.s.s.IndexSchema Schema name=default-config
2024-05-28 14:54:54.308 INFO  (coreLoadExecutor-11-thread-1) [c: s: r: x:jobs t:] o.a.s.s.IndexSchema Schema name=default-config
2024-05-28 14:54:54.438 WARN  (main) [c: s: r: x: t:] o.g.j.m.i.MessagingBinders A class jakarta.activation.DataSource for a default provider MessageBodyWriter<jakarta.activation.DataSource> was not found. The provider is not available.
2024-05-28 14:54:55.082 INFO  (main) [c: s: r: x: t:] o.a.s.j.SolrRequestAuthorizer Creating a new SolrRequestAuthorizer
